app_name,model,test_name,evaluator,overall_score,scenario_code_alignment_score,code_structure_score,selector_quality_score,best_practices_score,is_well_aligned
SauceDemo,deepseek,toggle-add-remove-on-product-card,deepseek,3,3,4,2,4,False
SauceDemo,deepseek,toggle-add-remove-on-product-card,openai,5,5,5,5,5,True
SauceDemo,deepseek,full-checkout-verify-totals-finish,deepseek,4,4,5,4,4,True
SauceDemo,deepseek,full-checkout-verify-totals-finish,openai,5,5,5,5,5,True
SauceDemo,deepseek,add-backpack-and-verify-in-cart,deepseek,4,4,5,4,4,True
SauceDemo,deepseek,add-backpack-and-verify-in-cart,openai,4,4,5,4,4,True
SauceDemo,deepseek,remove-item-from-cart-and-clear-badge,deepseek,3,3,4,2,4,False
SauceDemo,deepseek,remove-item-from-cart-and-clear-badge,openai,4,4,5,4,4,True
SauceDemo,deepseek,sort-low-to-high-and-add-onesie,deepseek,3,3,4,3,4,False
SauceDemo,deepseek,sort-low-to-high-and-add-onesie,openai,4,4,5,4,4,True
SauceDemo,deepseek,checkout-cancel-returns-to-cart,deepseek,3,3,4,3,4,False
SauceDemo,deepseek,checkout-cancel-returns-to-cart,openai,5,5,5,5,5,True
SauceDemo,deepseek,bike-light-complete-checkout-and-clear-badge,deepseek,4,4,5,4,4,True
SauceDemo,deepseek,bike-light-complete-checkout-and-clear-badge,openai,5,5,5,5,5,True
SauceDemo,deepseek,add-two-items-remove-backpack,deepseek,3,3,4,3,4,False
SauceDemo,deepseek,add-two-items-remove-backpack,openai,5,5,5,5,5,True
SauceDemo,deepseek,checkout-cancel-from-overview-to-products,deepseek,3,3,4,3,4,False
SauceDemo,deepseek,checkout-cancel-from-overview-to-products,openai,4,4,5,4,4,True
SauceDemo,deepseek,continue-shopping-returns-to-products,deepseek,3,3,4,3,4,False
SauceDemo,deepseek,continue-shopping-returns-to-products,openai,4,4,5,4,4,True
SauceDemo,openai,toggle-add-remove-on-product-card,deepseek,3,3,4,2,4,False
SauceDemo,openai,toggle-add-remove-on-product-card,openai,3,3,4,3,3,False
SauceDemo,openai,full-checkout-verify-totals-finish,deepseek,4,4,5,4,4,True
SauceDemo,openai,full-checkout-verify-totals-finish,openai,5,5,5,5,5,True
SauceDemo,openai,add-backpack-and-verify-in-cart,deepseek,3,3,4,2,4,False
SauceDemo,openai,add-backpack-and-verify-in-cart,openai,4,4,5,4,4,True
SauceDemo,openai,remove-item-from-cart-and-clear-badge,deepseek,4,4,5,3,5,True
SauceDemo,openai,remove-item-from-cart-and-clear-badge,openai,4,4,5,4,4,True
SauceDemo,openai,sort-low-to-high-and-add-onesie,deepseek,3,3,4,3,4,False
SauceDemo,openai,sort-low-to-high-and-add-onesie,openai,4,4,5,4,4,True
SauceDemo,openai,checkout-cancel-returns-to-cart,deepseek,3,3,4,2,4,False
SauceDemo,openai,checkout-cancel-returns-to-cart,openai,4,4,5,4,4,False
SauceDemo,openai,bike-light-complete-checkout-and-clear-badge,deepseek,4,4,5,4,4,True
SauceDemo,openai,bike-light-complete-checkout-and-clear-badge,openai,5,5,5,5,5,True
SauceDemo,openai,add-two-items-remove-backpack,deepseek,3,3,4,3,4,False
SauceDemo,openai,add-two-items-remove-backpack,openai,4,4,5,4,4,True
SauceDemo,openai,checkout-cancel-from-overview-to-products,deepseek,4,4,5,4,4,True
SauceDemo,openai,checkout-cancel-from-overview-to-products,openai,5,5,5,5,5,True
SauceDemo,openai,continue-shopping-returns-to-products,deepseek,3,3,4,3,4,False
SauceDemo,openai,continue-shopping-returns-to-products,openai,4,4,5,4,4,False
