app_name,model,test_name,evaluator,overall_score,scenario_code_alignment_score,code_structure_score,selector_quality_score,best_practices_score,is_well_aligned,alignment_percentage,total_scenario_steps,implemented_steps,missing_steps,incorrect_steps,selector_types_used,robustness_score,selector_specific_issues,selector_recommendations,async_usage,organization,best_practices_followed,best_practices_missing,strengths,weaknesses,main_alignment_issues
ToDo,deepseek,add_two_2_todo,deepseek,4.0,4,5.0,4.0,4.0,True,85,5,4,"[""Verify first todo 'Buy eggs' is still visible after adding second todo""]",[],"['role', 'text', 'css']",4.0,"[""Fragile XPath selector for checkbox: 'text=Clean room').locator('xpath=..').locator('.toggle')"", 'CSS class selector for completed state verification']","[""Use getByRole('checkbox') with proper filtering for todo items"", 'Use data-testid selectors if available', 'Replace XPath with more stable locator strategies']",excellent,excellent,"['Proper URL navigation', 'Element visibility checks before interaction', 'Correct async/await usage', 'Appropriate assertions']",['No explicit wait for state changes after checkbox interaction'],"['Excellent async/await usage and code organization', 'Proper role-based selector for input field', 'Correct implementation of core scenario steps in proper order', 'Good element visibility and enabled state verification before interactions']","['Missing verification that first todo remains visible after adding second todo', 'Fragile XPath selector for checkbox that may break with DOM changes', 'Relies on CSS class for completed state verification which could be brittle', 'No explicit wait strategy after checkbox interaction']","['Incomplete verification of both todos being present', 'Suboptimal selector strategy for checkbox interaction']"
ToDo,deepseek,add_two_2_todo,openai,4.5,5,4.0,5.0,4.0,True,100,4,4,[],[],"['role', 'text']",5.0,[],[],excellent,good,"['Proper URL navigation', 'Element visibility checks before interaction', 'Proper async/await usage', 'Appropriate assertions for todo items', 'Correct handling of dynamic content']",['Proper wait strategies for state changes'],"['Excellent scenario-code alignment', 'Robust selector usage', 'Good async/await usage']","['Missing wait strategies for state changes', 'Could improve code organization']",[]
ToDo,deepseek,clear_completed_functionality,deepseek,4.2,5,4.0,4.0,4.0,True,100,7,7,[],[],"['role', 'css']",4.0,"[""Uses CSS class selector '.todo-list li' which could be fragile if UI changes""]","['Consider using data-testid selectors if available', ""Use getByRole('listitem') for todo items instead of CSS classes""]",excellent,good,"['Proper async/await usage', 'Element visibility checks before interaction', 'Proper URL navigation', 'Appropriate assertions']","['Could benefit from test data abstraction', 'No explicit wait for state changes after clear completed']","['Perfect scenario implementation with all steps in correct order', 'Excellent use of role-based selectors for most elements', 'Proper async/await usage throughout the test', 'Good element visibility checks before interactions', 'Correct assertions for final state verification']","['Uses fragile CSS class selector for todo items verification', ""Assumes specific order of remaining todo ('Todo 2') rather than verifying active state"", 'No explicit verification that the remaining todo is actually active (not completed)', 'Could benefit from more descriptive variable names']",['None - all scenario steps are perfectly implemented']
ToDo,deepseek,clear_completed_functionality,openai,4.5,5,4.0,5.0,4.0,True,100,5,5,[],[],"['role', 'css']",5.0,[],[],excellent,good,"['Element visibility checks before interaction', 'Proper async/await usage', 'Appropriate assertions for todo items']",['Proper wait strategies for state changes'],"['The test scenario is fully implemented in the code', 'Robust selectors are used throughout the code', 'Async/Await is used excellently to handle promises']","['The code could be better organized', 'The test does not include proper wait strategies for state changes']",[]
ToDo,deepseek,empty_input_validation,deepseek,3.2,3,4.0,4.0,3.0,False,67,3,2,['Verify list remains unchanged (requires baseline state check)'],[],"['role', 'css']",4.0,['CSS selector for todo items could be more robust'],"[""Use getByRole('listitem') for todo items instead of CSS class selector"", 'Consider adding data-testid attributes for even more robust testing']",good,good,"['Proper async/await usage', 'URL navigation to correct endpoint', 'Element visibility and enabled checks before interaction']","['No baseline state verification before action', 'Missing proper wait strategies for state changes']","['Correctly targets the input field using role selector with name attribute', 'Proper async/await usage throughout the test', 'Includes element visibility and enabled state verification before interaction', 'Good URL navigation to the correct todo app endpoint']","[""Does not verify initial state before pressing Enter (critical for 'remains unchanged' assertion)"", 'Assumes empty list state without baseline verification', 'CSS selector for todo items is less robust than role-based alternatives', 'Missing proper state change handling after Enter press']","[""Missing baseline state verification for 'remains unchanged' assertion"", 'Assumes initial empty state rather than verifying it', ""Incomplete implementation of the scenario's verification requirements""]"
ToDo,deepseek,empty_input_validation,openai,4.5,5,5.0,4.0,4.0,True,100,3,3,[],[],"['role', 'css']",4.0,[],['Consider using data-testid selectors for more robust tests'],excellent,excellent,"['Proper URL navigation', 'Element visibility checks before interaction', 'Proper async/await usage', 'Appropriate assertions for todo items']","['Correct handling of dynamic content', 'Proper wait strategies for state changes']","['Excellent alignment with the scenario', 'Good use of async/await', 'Appropriate assertions']","['Does not handle dynamic content', 'Lacks proper wait strategies for state changes']",[]
ToDo,deepseek,unmark_completion_functionality,deepseek,4.2,5,4.0,4.0,4.0,True,100,7,7,[],[],"['role', 'text']",4.0,"[""First checkbox selector uses generic name 'Toggle Todo' which may not be accurate"", 'Text-based selectors for todo items could be fragile if text changes']","['Consider using data-testid if available for todo items', 'Use more specific role selectors for checkbox elements']",excellent,good,"['Proper async/await usage', 'Element visibility checks before interaction', 'URL navigation to correct endpoint', 'Appropriate assertions for state changes']","['Could benefit from test data variables for todo texts', 'No explicit wait for state transitions']","['Perfect scenario implementation with all steps in correct order', 'Excellent use of role-based selectors for main input field', 'Proper async/await usage throughout the test', 'Comprehensive assertions for visibility and state changes', 'Correct URL navigation and element interaction patterns']","[""Checkbox selector uses generic name 'Toggle Todo' which may not be accurate"", 'Relies on text-based selectors for todo items which could be fragile', 'No explicit waits for state transitions after checkbox interactions', 'Could benefit from test data variables for better maintainability']",[]
ToDo,deepseek,unmark_completion_functionality,openai,4.5,5,4.5,4.5,4.0,True,100,5,5,[],[],"['role', 'text']",4.5,[],"[""Consider using 'data-testid' selectors for more robust tests""]",excellent,excellent,"['Proper URL navigation', 'Element visibility checks before interaction', 'Proper async/await usage', 'Appropriate assertions for todo items']",['Wait strategies for state changes'],"['The test scenario is fully implemented in the code', 'Good use of async/await for handling asynchronous operations', 'Good use of role and text selectors']","['Lack of wait strategies for state changes', ""Not using 'data-testid' selectors which are more robust""]",[]
ToDo,deepseek,all_filter_functionality,deepseek,3.2,3,4.0,4.0,4.0,False,80,5,4,"[""Switch to 'All' filter""]",[],"['role', 'css']",4.0,['CSS selector used for todo list items instead of role-based selector'],"[""Use getByRole('listitem') for todo items instead of .todo-list li CSS selector"", 'Consider adding data-testid attributes for even more robust testing']",excellent,good,"['Proper async/await usage', 'Element visibility checks before interaction', 'URL navigation to correct endpoint', 'Appropriate assertions for todo count']","['Missing filter interaction verification', 'Could use more descriptive test names for individual steps']","['Excellent async/await implementation throughout the test', 'Good use of role-based selectors for main input field and checkbox', 'Proper element visibility and enabled state verification before interactions', 'Correct URL navigation and todo creation sequence']","[""Missing critical step: switching to 'All' filter as specified in scenario"", 'Uses fragile CSS selector (.todo-list li) for todo items instead of role-based selector', 'Test does not verify that all todos remain visible after filter operation', 'No verification that the completed todo is properly marked']","[""Filter functionality not implemented - test stops before the key 'All' filter verification step"", 'Final verification of all todos being visible after filter is missing']"
ToDo,deepseek,all_filter_functionality,openai,3.5,3,4.0,4.0,4.0,False,80,5,4,"[""Switch to 'All' filter""]",[],"['role', 'css']",4.0,[],['Use data-testid selectors for more robustness'],excellent,good,"['Proper URL navigation', 'Element visibility checks before interaction', 'Proper async/await usage', 'Appropriate assertions for todo items']","['Correct handling of dynamic content', 'Proper wait strategies for state changes']","['Good use of async/await', 'Clear and organized code structure', 'Robust selectors used']","['Missing step in scenario implementation', 'No handling of dynamic content', 'No wait strategies for state changes']","[""Missing step: 'Switch to 'All' filter'""]"
