test_name,step_index,expected_step,prompt,planned_element,planned_action_type,planned_selector,execution_action_type,execution_selector,execution_status,execution_success,is_expected_step,selector_attempts,locator_mismatch,skipped_auto,suspected_hallucination
add editor,0,Fill the username field with 'admin',Fill the username field with 'admin',textbox,fill,"getByRole('textbox',{ name:'Kullanıcı adı' })",fill,"getByRole('textbox',{ name:'Kullanıcı adı' })",success,True,True,1,False,False,False
add editor,1,Fill the password field with 'admin1',Fill the password field with 'admin1',textbox,fill,"getByRole('textbox',{ name:'Şifre' })",fill,"getByRole('textbox',{ name:'Şifre' })",success,True,True,1,False,False,False
add editor,2,Click the 'Giriş yap' button to submit the login form.,Click the 'Giriş yap' button to submit the login form.,button,click,locator('form').locator('button.btn'),click,locator('form').locator('button.btn'),success,True,True,1,False,False,False
add editor,3,Click the 'Kullanıcılar' link to navigate to the Users section.,Click the 'Kullanıcılar' link to navigate to the Users section.,link,click,"getByRole('link', {name: 'Kullanıcılar'})",click,"getByRole('link', {name: 'Kullanıcılar'})",success,True,True,1,False,False,False
add editor,4,Click the 'Yeni kullanıcı ekle' link to add a new user.,Click the 'Yeni kullanıcı ekle' link to add a new user.,link,click,"getByRole('link', {name: 'Yeni kullanıcı ekle'})",click,"getByRole('link', {name: 'Yeni kullanıcı ekle'})",success,True,True,1,False,False,False
add editor,5,Select 'Düzenleyici' from the 'Grup' dropdown,Select 'Düzenleyici' from the 'Grup' dropdown,combobox,select,"getByRole('combobox', {name: 'Grup'}).getByRole('option', {name: 'Düzenleyici'})",select,"getByRole('combobox', {name: 'Grup'}).getByRole('option', {name: 'Düzenleyici'})",failed,False,True,1,False,False,False
add editor,6,Fill the 'Kullanıcı adı' field with 'new_editor',Select 'Düzenleyici' from the 'Grup' dropdown,combobox,select,getByLabel('Grup'),select,getByLabel('Grup'),success,True,True,2,False,False,False
add editor,7,Fill the 'Şifre' field with 'password123',Fill the 'Kullanıcı adı' field with 'new_editor',textbox,fill,"getByRole('textbox', {name: 'Kullanıcı adı'})",fill,"getByRole('textbox', {name: 'Kullanıcı adı'})",success,True,True,2,False,False,False
add editor,8,Fill the 'Şifre Doğrulama' field with 'password123',Fill the 'Şifre' field with 'password123',textbox,fill,"getByRole('textbox', {name: 'Şifre'})",fill,"internal:role=textbox[name=""Şifre""]",success,True,True,2,True,False,False
add editor,9,Fill the 'E-posta' field with 'editor@example.com',Fill the 'Şifre Doğrulama' field with 'password123',textbox,fill,"getByRole('textbox', {name: 'Şifre Doğrulama'})",fill,"getByRole('textbox', {name: 'Şifre Doğrulama'})",success,True,True,2,False,False,False
add editor,10,Click the 'Kaydet' button to submit the form,Fill the 'E-posta' field with 'editor@example.com',textbox,fill,"getByRole('textbox', {name: 'E-posta'})",fill,"getByRole('textbox', {name: 'E-posta'})",success,True,True,2,False,False,False
add editor,11,,Click the 'Kaydet' button to submit the form,button,click,"getByRole('button', {name: 'Kaydet'})",click,"getByRole('button', {name: 'Kaydet'})",success,True,True,2,False,False,False
