test_name,step_index,expected_steps,prompt,planned_element,planned_action_type,planned_selector,execution_action_type,execution_selector,execution_status,execution_success,is_expected_step,selector_attempts,locator_mismatch,skipped_auto,suspected_hallucination
Login_app_with_username_admin_,0,Fill the username field with 'admin',Fill the username field with 'admin',textbox,fill,"getByRole('textbox', {name: 'Username'})",fill,"getByRole('textbox', {name: 'Username'})",success,True,True,1,False,False,False
Login_app_with_username_admin_,1,Fill the password field with 'admin1',Fill the password field with 'admin1',textbox,fill,"getByRole('textbox',{ name:'Password' })",fill,"getByRole('textbox',{ name:'Password' })",success,True,True,1,False,False,False
Login_app_with_username_admin_,2,Click the 'Login' button,Click the 'Login' button,button,click,locator('form').locator('button.btn'),click,locator('form').locator('button.btn'),success,True,True,1,False,False,False
Login_app_with_username_admin_,3,Navigate to 'http://localhost:8001/admin/content',Click the 'Content' link in the sidebar to navigate to the content management page.,link,click,"getByRole('link', {name: 'Content'})",click,"getByRole('link', {name: 'Content'})",failed,False,True,1,False,False,True
Login_app_with_username_admin_,4,Fill title with new title,Click the 'Content' link in the sidebar to navigate to the content management page.,element,click,"locator('a[href=""/admin/content""]')",click,"locator('a[href=""/admin/content""]')",failed,False,True,2,False,False,True
Login_app_with_username_admin_,5,Click Save button,Click the 'Content' link in the sidebar to navigate to the content management page.,link,click,getByText('Content').filter({has: locator('.nav-link')}),click,getByText('Content').filter({has: locator('.nav-link')}),failed,False,True,3,False,False,True
Login_app_with_username_admin_,6,,Click the 'Content' link in the sidebar to navigate to the content management page.,link,click,locator('.nav-link').nth(3),click,locator('.nav-link').nth(3),failed,False,True,4,False,False,True
Login_app_with_username_admin_,7,,Click the 'Content' link in the sidebar to navigate to the content management page.,link,click,"locator('.sidebar').getByRole('link', {name: 'Content'})",click,"locator('.sidebar') >> internal:role=link[name=""Content""]",success,True,True,5,True,False,True
Login_app_with_username_admin_,8,,Click the 'Content' link in the sidebar to navigate to the content management page.,link,click,"getByRole('link', {name: 'Content'})",click,"getByRole('link', {name: 'Content'})",failed,False,True,5,False,False,True
Login_app_with_username_admin_,9,,Click the 'Content' link in the sidebar to navigate to the content management page.,element,click,"locator('a[href=""/admin/content""]')",click,"locator('a[href=""/admin/content""]')",failed,False,True,6,False,False,True
Login_app_with_username_admin_,10,,Click the 'Content' link in the sidebar to navigate to the content management page.,link,click,getByText('Content').filter({has: locator('.nav-link')}),click,getByText('Content').filter({has: locator('.nav-link')}),failed,False,True,7,False,False,True
Login_app_with_username_admin_,11,,Click the 'Content' link in the sidebar to navigate to the content management page.,navigation,click,getByRole('navigation').getByText('Content'),click,getByRole('navigation').getByText('Content'),failed,False,True,8,False,False,True
Login_app_with_username_admin_,12,,Click the 'Content' link in the sidebar to navigate to the content management page.,link,click,locator('.nav-link').nth(3),click,locator('.nav-link').nth(3),failed,False,True,9,False,False,True
Login_app_with_username_admin_,13,,Click the 'Content' link in the sidebar to navigate to the content management page.,link,click,locator('.sidebar-nav').locator('a.nav-link').nth(3),click,locator('.sidebar-nav').locator('a.nav-link').nth(3),failed,False,True,10,False,False,True
Login_app_with_username_admin_,14,,Click the 'Content' link in the sidebar to navigate to the content management page.,link,click,"locator('.sidebar-nav').getByRole('link', {name: 'Content'})",click,"locator('.sidebar-nav').getByRole('link', {name: 'Content'})",failed,False,True,11,False,False,True
